名称,相对路径,性别,年龄段,预测年龄,语速,用途,标签,典型角色,描述
岚风,逗哥热门音色/逗思雨.mp3,男,青年,28岁,适中,旁白,清朗|知性|温润|叙述感|平和|治愈|书卷气|理智,纪录片旁白、电台主播、青年教师、文艺青年、知识科普博主,清朗温润的青年男声，音色干净且富有知性美，语调平和舒缓，带有淡淡的书卷气，非常适合朗读哲理散文、情感语录或作为文化纪录片的旁白。
夜阑,逗哥热门音色/音色-逗激石.mp3,男,青年,35岁,适中,配音+旁白,低沉|磁性|稳重|亲切|叙述感|自然|温和|商务,纪录片旁白、商务精英、深情男主、电台DJ、成熟学长,低沉磁性的成熟男声，音质厚实且富有颗粒感，语调平和自然，既有商务叙述的专业稳重，又兼具情感交流的亲切温暖，适合演绎成熟稳重的角色或进行有质感的旁白解说。
清婉,逗哥热门音色/逗梦梦.mp3,女,青年,24岁,较慢,旁白,温柔|知性|清新|舒缓|细腻|文艺|治愈|含蓄,文艺片旁白、情感电台主播、纪录片解说、图书馆管理员、初恋白月光,声音清澈温润，如同涓涓细流，语调舒缓且富有文艺气息。咬字清晰柔和，透着一种知性与治愈感，非常适合作为文艺电影解说或深夜情感类节目的旁白。
铁柱,逗哥热门音色/音色-   逗大仁.mp3,男,中年,38岁,较快,配音,方言|粗犷|接地气|喜感|豪爽|直接|朴实|高亢,憨厚大叔、暴发户、搞笑配角、热心邻居、小摊贩,带有明显口音或方言特色的中年男声，音色粗犷且富有生活气息，语调直白高亢，透着一股憨厚与喜感，非常适合演绎接地气的市井人物或喜剧角色。
锦悦,逗哥热门音色/音色-逗辰辰.mp3,女,青年,26岁,适中,配音+旁白,知性|温婉|干练|明亮|亲切|职场|清晰|端庄|柔和,新闻主播、职场女性、解说员、智能客服、知性姐姐,声音明亮清晰，透着一股知性与温婉并存的气质，发音标准且具有职业感。语调平稳自然，给人一种既亲切又专业的听感，非常适合作为资讯播报、产品解说或智能助手的语音形象。
星野,逗哥热门音色/音色- 逗小凡.mp3,男,青年,24岁,适中,配音+旁白,清澈|温柔|少年感|干净|磁性|阳光|治愈|亲切,初恋男友、温柔学长、现代都市青年、深情男二、治愈系旁白,清澈干净的青年男声，既有少年的纯真感又带有一丝成熟的磁性，语气温柔亲切，如同春风拂面，非常适合演绎令人心动的恋爱对象或温暖治愈的现代角色。
凌霄,逗哥热门音色/新云浩宇(影视模式).mp3,男,青年,28岁,适中,配音+旁白,清朗|自信|阳光|干练|温润|中气足|略带磁性|亲切,热血主角、青年才俊、正义侠客、阳光学长、精英职员,声音清朗透亮，自带一种年轻且自信的朝气，吐字清晰干练，既有少年的爽朗又有青年的稳重，适合演绎充满正能量或机智果敢的男性角色。
浩然,逗哥热门音色/音色-逗哥君.mp3,男,青年,28岁,适中,配音+旁白,清亮|阳光|爽朗|自信|正气|亲和|自然|通透,热血青年、正派侠客、科技博主、青年才俊、游戏主角,声音清亮通透的青年男声，富有朝气与活力，发音清晰自然，给人以阳光开朗、自信大方的印象，非常适合演绎热血的年轻角色或作为科技、生活类视频的旁白。
艾瑞克,逗哥热门音色/美英Cally女.mp3,男,青年,26岁,适中,旁白,美式|活力|清晰|自信|讲述感|阳光|清亮|现代|热情,冒险片旁白、游戏引导员、科技产品解说、有声书讲述者、青年探险家,清亮且充满活力的美式青年男声，发音清晰标准，语调中带有一种自然的自信与热情，极具讲述感和感染力，非常适合为冒险故事、奇幻游戏或富有探索精神的宣传片进行旁白解说。
言瑾·商务男,逗哥热门音色/音色- 逗承宇.mp3,男,青年,28岁,适中,配音+旁白,温润|清晰|标准|商务|亲切|磁性|稳重|知性,客服专员、新闻主播、商务解说、有声书旁白、AI助理,声音温润清晰，吐字标准，带有一种令人舒适的商务亲和力。语调平稳而不失情感，非常适合用于产品介绍、服务提示音或各类正式场合的旁白解说。
言瑾·新闻播,逗哥热门音色/音色-   逗杨飞.mp3,男,中年,38岁,适中,配音+旁白,浑厚|磁性|稳重|标准|大气|商务|信赖感|专业,新闻主播、纪录片旁白、商务解说、企业高管、正派官员,声音浑厚且富有磁性，发音标准清晰，给人一种沉稳、专业且值得信赖的感觉，非常适合新闻播报、商务宣讲或正剧旁白。
言叙,逗哥热门音色/逗天翼.mp3,男,青年,27岁,适中,旁白,温润|叙述|理性|冷静|清晰|文艺|柔和|知性,影评解说、纪录片旁白、情感电台主播、文艺青年、知识博主,声音温润干净，带有一种客观冷静的叙述感，咬字清晰且语调平缓，没有过多的情绪起伏，非常适合作为电影解说、文化类纪录片或情感文章的旁白。
言瑾,逗哥热门音色/音色- 逗砚书.mp3,男,青年,33岁,适中,配音+旁白,磁性|温润|稳重|叙述感|亲切|知性|正式|播音腔,纪录片旁白、深情男主、电台主播、新闻记者、企业高管,温暖且富有磁性的成熟男声，咬字清晰专业，带有标准的播音质感。语调平稳舒适，既有专业叙述的可信度，又兼具情感交流的亲切感，非常适合纪录片解说或深情独白。
萧寒,逗哥热门音色/音色-逗老二.mp3,男,青年,28岁,适中,配音,磁性|冷峻|攻音|质感|深情|沉稳|苏感|自信,霸道总裁、冷面杀手、深情男主、精英律师、反派卧底,富有质感的青年男声，声线磁性且略带冷峻气息，语气沉稳自信，自带一种深情的“苏感”，非常适合演绎霸道总裁或外冷内热的精英型角色。
云峥,逗哥热门音色/逗阿生-解说beta.mp3,男,青年,27岁,适中,配音+旁白,温柔|清澈|磁性|深情|儒雅|知性|治愈|亲切,深情男主、温柔师兄、电台主播、邻家哥哥、书生,温暖而富有磁性的青年男声，音色清澈干净，语调平缓柔和，带有一种天然的亲切感和治愈力。非常适合演绎深情款款的男主角或知性儒雅的文人角色。
亦承,逗哥热门音色/音色- 逗飞鸿.mp3,男,青年,28岁,适中,配音+旁白,清亮|温润|现代|知性|专业|亲和|磁性|稳重,新闻主播、都市白领、纪录片解说、年轻律师、电台DJ,声音清亮温润，具有现代都市男性的知性气质，咬字清晰专业，带有一种令人舒适的亲和力与信任感，非常适合商务旁白、新闻播报或现代都市剧中的专业人士角色。
雅韵,逗哥热门音色/音色-逗青蕾.mp3,女,青年,28岁,适中,配音+旁白,知性|温柔|优雅|端庄|亲切|清晰|自然|柔和,新闻主播、知性大姐姐、私人助理、纪录片旁白、温柔师姐,声音温润如玉，透着一种知性与优雅的气质，咬字清晰且富有亲和力。既适合作为智能助手的交互语音，也能胜任情感电台或纪录片的解说，给人如沐春风的舒适感。
言知,逗哥热门音色/音色-  圆腔-阿七.mp3,男,青年,27岁,适中,配音+旁白,温暖|清晰|亲切|知性|明亮|柔和|磁性|舒适|可靠,电台主播、暖男学长、智能助手、知识博主、青年医生,温暖清晰的青年男声，音色明亮且带有舒适的亲切感，咬字精准，如同身边的可靠朋友或智能助手，非常适合作为有声读物旁白、情感电台或服务型AI语音。
言尘,逗哥热门音色/逗弘文.mp3,男,青年,27岁,较慢,配音+旁白,清冷|感伤|叙述感|深情|文艺|干净|遗憾|通透,深情男配、悲剧主角、回忆叙述者、文艺片旁白、失意书生,清冷而略带感伤的青年男声，语调平缓且富有故事感，透过声音能感受到一种淡淡的遗憾与无力感，非常适合演绎生死离别或情感独白的场景。
言瑾·云浩宇,逗哥热门音色/云浩宇.mp3,男,青年,25岁,适中,配音+旁白,清亮|温润|柔和|亲切|阳光|治愈|少年感|干净,邻家哥哥、温柔书生、治愈系男主、暖男、青年教师,声音清亮温润，介于少年与成年之间，带有一种天然的亲切感和干净的阳光气息。语调柔和平稳，非常适合演绎温暖治愈的现代剧男主或古风剧中温文尔雅的书生。
梓墨,逗哥热门音色/音色-  逗浩轩.mp3,男,青年,27岁,适中,配音+旁白,温润|清澈|平静|亲切|自然|书卷气|柔和|治愈,温润公子、年轻教师、知识博主、暖男、深情男二,温润如玉的青年男声，音色清澈干净，没有攻击性，语调平稳且充满亲和力。适合演绎性格温和的角色，或录制情感电台、有声书旁白。
皓宸,逗哥热门音色/逗光舟.mp3,男,青年,24岁,适中,旁白,清亮|温和|叙述感|年轻|自然|柔和|知性|文艺,纪录片旁白、有声书讲述者、电台主播、现代剧暖男、校园学长,清亮温和的青年男声，语调自然流畅，没有过多的修饰感，带有一种娓娓道来的叙述气质，非常适合演绎有声小说、影视解说或文艺类纪录片的旁白。
逸飞,逗哥热门音色/音色- 逗应竹.mp3,男,青年,24岁,适中,配音+旁白,清亮|阳光|温和|少年感|爽朗|亲切|活力|自信,热血少年、阳光学长、偶像男主、青年侠客、游戏向导,清亮爽朗的青年男声，语调轻快且充满朝气，自带一种温暖的亲和力与自信，如同邻家大哥哥般令人感到放松，非常适合演绎热血动漫男主或现代偶像剧中的阳光角色。
睿渊,逗哥热门音色/音色-逗宇熙.mp3,男,青年,28岁,适中,配音+旁白,清亮|温润|知性|磁性|平和|亲切|现代|自信,青年才俊、电台主播、温柔学长、职场精英、暖男,声音清亮温润，兼具现代感与知性气质，发音清晰且带有自然的亲切感。这种音色既适合演绎都市剧中的职场精英或暖男角色，也适合作为科技、人文类内容的解说旁白。
云逸,逗哥热门音色/逗天逸.mp3,男,青年,26岁,适中,配音+旁白,清亮|温润|书卷气|儒雅|柔和|叙述感|平和|治愈|知性,书生、温润公子、文艺青年、纪录片解说、年轻师长,声音清亮温润，自带一股书卷气的儒雅感，语调平和舒缓，如同清茶般耐人寻味。非常适合演绎古风温润公子、现代文艺青年，或作为情感类电台、人文纪录片的旁白。
俊豪,逗哥热门音色/音色-   逗力石.mp3,男,青年,22岁,较快,配音+旁白,清亮|活力|朝气|阳光|爽朗|高亢|少年感|自信,热血少年、运动健将、年轻侠客、乐观的男二号、广告旁白,声音清亮高亢，充满青春的活力与朝气，语调上扬且带有明显的阳光感，非常适合演绎热血动漫男主、运动型角色或积极向上的商业广告旁白。
芷若,逗哥热门音色/音色-逗大咻.mp3,女,青年,28岁,适中,配音+旁白,温柔|知性|亲切|细腻|柔和|治愈|悦耳|淡雅,温柔姐姐、情感主播、贤惠妻子、知性导师、广告旁白,声音温柔细腻，透着一种成熟女性的知性与优雅，语调舒缓亲切，极具治愈感，非常适合演绎情感类独白、温馨广告或贴心的姐姐类角色。
云帆,逗哥热门音色/音色-标男-艾诚.mp3,男,青年,26岁,适中,配音+旁白,清朗|温润|明亮|阳光|正气|亲切|活力|诚恳,初入职场的青年、热血男主、新闻播报员、温柔学长、科技解说,声音清朗明亮，带有一种扑面而来的朝气与活力，发音清晰且富有节奏感，没有油腻感，非常适合演绎积极向上的青年角色或作为具有亲和力的科技产品解说。
崇岳,逗哥热门音色/音色-逗叔君.mp3,男,中年,38岁,适中,配音+旁白,磁性|低沉|沉稳|儒雅|坚定|成熟|厚重|叙述感,谋士、中年剑客、纪录片旁白、家族族长、稳重上司,声音低沉醇厚，带有一种经历过风霜的沉稳感与磁性，咬字清晰且富有质感。既适合演绎深谋远虑的成熟男性角色，也适合作为历史或悬疑类题材的旁白。
亦寒,逗哥热门音色/音色-逗超幻.mp3,男,青年,28岁,适中,配音+旁白,磁性|清亮|温润|现代|知性|稳重|叙述感|亲和,新闻主播、记录片解说、都市白领、深情男主、电台DJ,声音清亮温润，富有现代感和磁性，咬字清晰且带有自然的叙述感。适合演绎都市情感剧男主、有声书旁白或商务解说，给人以专业且亲切的听感。
灵萱,逗哥热门音色/音色-   逗顺妞.mp3,女,少年,14岁,较快,配音,稚嫩|清脆|活泼|可爱|元气|萝莉音|明亮|单纯,元气少女、魔法学徒、傲娇妹妹、小精灵、校园女生,声音清脆明亮，带有明显的少女稚气和元气感，语调轻快活泼，像是一只不知疲倦的小鸟，非常适合演绎可爱、单纯或有点傲娇的二次元少女角色。
萌萌,逗哥热门音色/音色-  甜美萌妹.mp3,女,青年,23岁,适中,配音,甜美|俏皮|清亮|活泼|灵动|亲切|元气|可爱,邻家少女、游戏NPC、动漫女主、贴心学妹、精灵助手,清亮甜美的年轻女声，带有明显的活泼感和亲和力，声线灵动且充满元气。适合演绎可爱型的动漫少女、恋爱游戏中的女主角或贴心的系统助手。
智悦,逗哥热门音色/音色-  豆腐妹.mp3,女,青年,26岁,适中,配音+旁白,亲切|知性|清晰|柔和|智能|礼貌|明亮|服务感,AI助手、语音客服、商场广播、企业宣传片旁白、导航语音,声音明亮清晰，带有标准的职业感和亲切度，语调平稳柔和，没有强烈的个人情绪起伏，非常适合作为智能助手、公共服务广播或现代企业宣传的标准化声音。
玄渊,逗哥热门音色/音色-逗亮嘉.mp3,男,中年,38岁,适中,配音+旁白,低沉|浑厚|磁性|稳重|深邃|威严|成熟|冷峻|有质感,反派首领、冷面杀手、权谋谋士、魔教教主、深沉大叔,声音浑厚低沉且富有磁性，带有一种深不可测的神秘感和威严气质，语调沉稳内敛，非常适合演绎性格复杂、身居高位或带有暗黑色彩的成熟男性角色。
亦沉,逗哥热门音色/音色-逗亮嘉 (1).mp3,男,中年,38岁,适中,配音+旁白,磁性|深沉|稳重|叙述感|商务|质感|成熟|温和|信赖感,纪录片旁白、商务精英、资深导师、新闻主播、企业高管,声音低沉而富有磁性，展现出一种历经沉淀的成熟质感。语调平稳、吐字清晰，带有一种自然的信赖感和权威感，非常适合演绎稳重的商务人士或进行严肃题材的旁白解说。
韵岚,逗哥热门音色/音色- 逗玥姐.mp3,女,中年,38岁,适中,配音+旁白,知性|温柔|成熟|端庄|亲切|优雅|大方|舒缓,母亲、女上司、纪录片解说、电台主播、知心姐姐,声音温润柔和，透露出一种成熟女性的知性与从容，语调舒缓而富有亲和力，如同春风拂面，非常适合演绎温柔的母亲、知性的职场女性或情感类旁白。
言澈,逗哥热门音色/音色-    逗超鸣.mp3,男,青年,26岁,适中,配音+旁白,清亮|温润|知性|标准|亲切|阳光|自信|现代|治愈,新闻主播、职场精英、暖男学长、解说员、有声书讲述者,声音清亮温润，吐字清晰标准，带有一种现代都市的知性与亲切感。语气阳光自信，既适合资讯播报和产品介绍，也能胜任温暖治愈系的旁白解说。
芸汐,逗哥热门音色/逗星语.mp3,女,青年,26岁,适中,配音+旁白,知性|温婉|柔和|清晰|亲切|自然|干练|端庄,职场女性、知心姐姐、新闻主播、智能助理、纪录片解说,声音温婉柔和且带有知性气质，咬字清晰，语调平稳自然，给人一种既亲切又专业的听感，非常适合演绎职场女性、智能助手或进行资讯类内容的播报。
乐言,逗哥热门音色/音色-   逗立给.mp3,男,少年,12岁,适中,配音,清亮|活泼|稚嫩|正太音|朝气|可爱|阳光|元气,小书童、少年主角、邻家弟弟、动画片主角、系统精灵,清脆明亮的少年正太音，语调上扬充满朝气与活力，发音清晰略带稚气，非常适合演绎热血动漫的少年主角、古灵精怪的弟弟或活泼的引导精灵。
玄铭,逗哥热门音色/逗达叔（影视模式）.mp3,男,中年,38岁,适中,配音+旁白,低沉|磁性|稳重|叙述感|温厚|知性|自然|沉着|悦耳,纪录片旁白、资深教授、温和的上司、新闻主播、情感电台,声音低沉温厚，富有自然的磁性和叙述感，如同深夜电台的知心大叔，语调平稳且带有抚慰人心的力量，非常适合纪录片解说或需要信任感的角色配音。
芯悦,逗哥热门音色/音色- 逗佳璇.mp3,女,青年,26岁,适中,配音+旁白,温柔|知性|清晰|亲切|自然|甜美|平静|治愈|端庄,智能助手、有声书女主、知心姐姐、企业客服、纪录片解说,声音清澈温柔且富有知性美，语气亲切自然，没有过多的攻击性，给人一种如沐春风的舒适感，非常适合作为智能助手交互或情感类文章的朗读。
亦君,逗哥热门音色/音色-  豆豆哥.mp3,男,青年,28岁,适中,配音+旁白,温润|清澈|知性|儒雅|磁性|柔和|亲切|标准,文艺青年、暖男、知识博主、纪录片解说、有声书主角,温润如玉的青年男声，音质清澈干净，语调平稳且带有自然的亲切感。声音中透着一种知性和儒雅的气质，既适合演绎深情的现代剧角色，也胜任知识科普或情感类旁白。
天佑,逗哥热门音色/音色-  逗超腾紧.mp3,男,青年,23岁,较快,配音,高昂|活力|阳光|热情|明亮|清脆|自信|爽朗,热血少年、阳光学长、运动健将、开心果、正义主角,充满朝气与活力的青年男声，音色明亮高昂，语调中透着一股积极向上的劲头。适合演绎热血动漫主角、校园剧中的阳光大男孩或充满正能量的宣传解说。
沧海,逗哥热门音色/有力-逗叔君.mp3,男,中年,45岁,适中,旁白,浑厚|史诗感|苍凉|叙事|沉稳|纪录片|磁性|大气|说书感,历史讲述者、纪录片旁白、说书人、军师、谋士,声音浑厚且富有历史沧桑感，语调起伏有致，带有明显的叙事张力和史诗氛围。咬字清晰有力，非常适合历史题材的解说、纪录片旁白或演义小说中的说书人角色。
星朗,逗哥热门音色/逗泽齐.mp3,男,青年,23岁,适中,配音+旁白,清亮|阳光|活泼|少年感|朝气|明快|积极|亲切|讲述感,热血少年、年轻记者、阳光学长、旅行博主、游戏主角,声音清亮干净，充满朝气与活泼的少年感。语调轻快上扬，带有明显的讲述欲和亲切感，非常适合演绎阳光开朗的年轻角色或作为生活类、旅游类视频的旁白。
亦帆,逗哥热门音色/逗昊天.mp3,男,青年,27岁,适中,旁白,清朗|知性|叙述感|自然|温和|平稳|流畅|悦耳,电影解说员、纪录片旁白、有声书讲述者、知性学长、文艺青年,声音清朗自然，带有一种温和的知性气质，叙述感极强，语调平稳流畅，非常适合作为影视解说、纪录片旁白或有声读物的讲述者。
绮梦,逗哥热门音色/逗娇娇.mp3,女,青年,24岁,适中,配音+旁白,甜美|清亮|温柔|知性|治愈|亲切|细腻|明快,邻家少女、偶像剧女主、电台主播、广告旁白、人工智能助手,声音甜美清亮，带有一种治愈人心的温暖感，语调轻柔且富有情感，咬字清晰，非常适合演绎充满希望的正面角色或情感细腻的文艺旁白。
柏舟,逗哥热门音色/音色- 老中医-杠精.mp3,男,中年,38岁,适中,配音+旁白,沉稳|磁性|温和|商务|成熟|亲切|厚实|儒雅,商务精英、纪录片旁白、资深导师、成熟大叔、新闻主播,声音沉稳厚实，自带成熟男性的磁性与儒雅感，语气亲切自然且不失专业度，给人一种值得信赖的感觉，非常适合商务接待、知识讲解或
若兰,逗哥热门音色/音色-逗菜菜.mp3,女,青年,27岁,适中,配音+旁白,知性|温柔|优雅|清晰|亲切|舒适|明亮|端庄,AI助手、新闻播报、职场女性、解说员、知心姐姐,声音清亮温和，带有明显的知性气质与服务感，咬字清晰且语调平稳，给人一种专业而又不失亲切的听感，非常适合作为智能客服、有声读物旁白或都市职场剧中的角色配音。
初雪,逗哥热门音色/音色-  青春女神.mp3,女,青年,23岁,适中,配音+旁白,清冷|空灵|淡雅|温柔|知性|冷静|疏离|细腻,高冷女神、AI助手、仙侠师姐、现代女医生、智能系统,声音清冷淡雅，如同初雪般纯净且带有微微的疏离感。语调平稳克制，情感含蓄内敛，非常适合演绎性格冷静的高知女性、仙侠剧中的高冷女神或作为高级感的系统旁白。
朗悦,逗哥热门音色/音色-逗子涵.mp3,男,青年,27岁,适中,配音+旁白,清亮|温和|阳光|亲切|自然|有朝气|磁性|舒适,青年才俊、热血男主、暖男、新闻主播、解说员,声音清亮温润的青年男声，语调自然流畅，带有一种如沐春风的亲切感与朝气。非常适合演绎现代剧中的正能量男主或进行轻松愉悦的旁白解说。
童语,逗哥热门音色/音色-   逗超幼.mp3,男,儿童,6岁,适中,配音,稚嫩|可爱|清脆|纯真|活泼|奶气|明亮|童趣,小男孩、宠物拟人、系统精灵、邻家弟弟、幼儿园小朋友,声音稚嫩清脆，带有明显的奶气和童真感，发音咬字清晰且富有活力，非常适合演绎活泼可爱的小男孩角色或具有萌系属性的虚拟形象。
鸿远,逗哥热门音色/逗宗杰.mp3,男,中年,38岁,适中,配音+旁白,浑厚|磁性|深情|沉稳|故事感|成熟|温暖|稳重,深情男主、温厚长者、纪录片解说、电台主播、知心大哥,声音浑厚且富有磁性，中气十足，语调平稳中带着深情与思考，给人一种踏实可靠的感觉，非常适合演绎情感类旁白或成熟稳重的男性角色。
擎苍,逗哥热门音色/音色-逗卷卷.mp3,男,中年,38岁,适中,配音+旁白,磁性|厚重|质感|成熟|坚毅|稳重|叙述感|中低音,正义警官、纪录片解说、成熟大叔、军官、商业领袖,声音质感厚重且极具磁性，带有一种历经沧桑的成熟魅力和坚毅感。咬字清晰有力，沉稳中透着亲切，非常适合演绎成熟稳重的正面角色或担任深情的叙述旁白。
清澜,逗哥热门音色/音色-逗欣研.mp3,女,青年,27岁,适中,配音+旁白,知性|温婉|清晰|亲切|自然|端庄|柔和|悦耳,新闻播音员、智能助手、知性大姐姐、纪录片解说、有声书旁白,声音温婉知性，发音字正腔圆，语调平稳且带有自然的亲切感。既有职业播音的专业素养，又不失柔和的温度，非常适合资讯播报、有声阅读及智能客服等场景。
沉砚,逗哥热门音色/小忧伤-逗叔君.mp3,男,中年,38岁,较慢,配音+旁白,低沉|磁性|忧郁|深情|沧桑|稳重|叙述感|内敛,失意文人、深情男主、回忆叙述者、隐世高人、孤独守望者,低沉且略带颗粒感的中年男声，语气中透着一丝不易察觉的忧郁与深情，叙述节奏舒缓，仿佛在讲述一段尘封已久的往事，非常适合演绎内心戏丰富或带有回忆色彩的场景。
言瑾·温润男,逗哥热门音色/音色- 逗清和.mp3,男,青年,28岁,适中,配音+旁白,温润|清澈|磁性|亲切|自然|舒缓|知性|治愈,暖男学长、电台主播、情感博主、纪录片旁白、有声书主角,清澈温润的青年男声，既有年轻人的朝气又不失成熟的稳重感。语调舒缓自然，带有淡淡的笑意和亲和力，非常适合情感类电台、治愈系广告或有声小说中温暖深情的男主角。
亦凡,逗哥热门音色/音色- 逗书白.mp3,男,青年,27岁,适中,配音+旁白,清亮|温润|亲切|阳光|现代|自信|柔和|磁性|治愈|知性,暖男、青年才俊、电台DJ、纪录片解说、男二号,声音清亮温润，透着一股年轻的朝气与自信。语调自然流畅，没有过多的距离感，像是一个亲切的学长或邻家大哥哥在耳边低语，非常适合演绎现代都市情感剧或具有治愈感的旁白。
亦轩,逗哥热门音色/紧张-逗叔君.mp3,男,青年,23岁,较快,配音,清亮|少年感|紧张|青涩|真实|急促|活力|现代,参赛选手、实习生、年轻学子、电竞少年、初入职场新人,声音清亮且带有明显的青涩感，语速因紧张略显急促，气息有些不稳，非常真实地还原了初出茅庐的年轻人在关键时刻的忐忑心情。
言博,逗哥热门音色/逗劲翔.mp3,男,青年,27岁,适中,配音+旁白,清亮|温润|知性|磁性|亲切|阳光|自信|现代感,青年才俊、科技解说、纪录片旁白、暖男、职场精英,声音清亮温润，既有年轻人的阳光自信，又带有一丝沉稳的知性气质。语调亲切自然，非常适合演绎现代职场青年、科技产品介绍或具有人文关怀的旁白解说。
凌峰,逗哥热门音色/云浩宇（影视模式.mp3,男,青年,28岁,适中,配音+旁白,清朗|磁性|温暖|自信|现代|真诚|舒适|明亮|悦耳,青年才俊、科技新贵、男主角、主持人、热心学长,清亮且具有一定磁性的青年男声，发音清晰标准，语调中透着一种温暖与自信。既适合演绎现代剧中的男主角，也适合作为科技产品、纪录片的解说旁白。
